paramter_names,parameter_values
k2_1f,6.00E+01
k2_2f,7.46
k2_3f,4.00E+01
k2_4f,7.46
k3_1f,4.00E+01
k3_2f,7.46
k3_3f,5.00E+00
k10_4f,4.00E+01
k10_5f,7.46
k10_6f,5.00E+00
k8_4f,4.00E+01
k8_5f,7.46
k8_6f,5.00E+00
k10_7f,4.00E+01
k10_8f,4.00E+01
k10_9f,7.46
k8_7f,4.00E+01
k8_8f,4.00E+01
k8_9f,7.46
k4_1f,10
k4_2f,1.70E+01
k5_1f,56
k6_1f,2.00E+01
k6_2f,20
k7_1f,5.00E+00
k8_1f,14
k8_2f,7.46E+00
k8_3f,8.2
k9_1f,5.60E+01
k10_1f,38
k10_2f,7.46E+00
k10_3f,8.2
